ID,appUserId,displayName,segment,loyaltyTier,loyaltyPoints,enrolledOn,consentMarketing,homeStore_ID
CUST00001,smart-app-00001,Pablo Roth,Late Shift,GOLD,81,2025-05-07,True,MUC01
CUST00002,smart-app-00002,Sofia Fischer,Occasional,BRONZE,4533,2025-09-06,True,STR01
CUST00003,smart-app-00003,Marta Krause,Campus Regular,GOLD,4255,2026-01-13,True,WDF02
CUST00004,smart-app-00004,Lukas Novak,Lunch Crowd,SILVER,3345,2025-09-13,True,HAM01
CUST00005,smart-app-00005,Nora Roth,Occasional,BRONZE,3573,2026-05-17,False,WDF01
CUST00006,smart-app-00006,Yara Haddad,Fitness Focused,BRONZE,2539,2025-09-03,False,HAM01
CUST00007,smart-app-00007,Aaron Roth,Late Shift,PLATINUM,972,2025-10-24,False,HAM01
CUST00008,smart-app-00008,Milan Meyer,Lunch Crowd,SILVER,1781,2026-04-13,True,MUC01
CUST00009,smart-app-00009,Omar Kern,Late Shift,BRONZE,3529,2025-01-28,True,MUC01
CUST00010,smart-app-00010,Priya Sommer,Occasional,SILVER,212,2025-04-04,True,WDF02
CUST00011,smart-app-00011,Aaron Fischer,Occasional,BRONZE,2607,2025-05-22,True,STR01
CUST00012,smart-app-00012,Ravi Brandt,Campus Regular,PLATINUM,1262,2025-01-12,True,BLN01
CUST00013,smart-app-00013,Yuki Fischer,Occasional,SILVER,1009,2025-10-02,True,WDF01
CUST00014,smart-app-00014,Tobias Sommer,Late Shift,BRONZE,1675,2026-03-20,True,WDF02
CUST00015,smart-app-00015,Nora Meyer,Late Shift,GOLD,1925,2025-08-02,True,BLN01
CUST00016,smart-app-00016,Sofia Iyer,Lunch Crowd,SILVER,338,2025-06-27,True,BLN01
CUST00017,smart-app-00017,Noah Wagner,Occasional,BRONZE,2323,2025-12-19,True,BLN01
CUST00018,smart-app-00018,Nora Schulz,Occasional,SILVER,3306,2025-02-23,True,WDF02
CUST00019,smart-app-00019,Aaron Weber,Early Commuter,SILVER,628,2025-07-09,False,STR01
CUST00020,smart-app-00020,Nora Hoffmann,Fitness Focused,BRONZE,3282,2026-03-26,True,HAM01
CUST00021,smart-app-00021,Anja Hoffmann,Late Shift,SILVER,770,2026-06-05,False,MUC01
CUST00022,smart-app-00022,Emilia Roth,Lunch Crowd,BRONZE,501,2026-02-12,False,HAM01
CUST00023,smart-app-00023,Emilia Meyer,Campus Regular,BRONZE,1754,2026-01-29,True,BLN01
CUST00024,smart-app-00024,Jan Roth,Occasional,SILVER,4261,2026-03-03,False,WDF01
CUST00025,smart-app-00025,Ingrid Schulz,Fitness Focused,SILVER,350,2025-03-13,True,BLN01
CUST00026,smart-app-00026,Emilia Haddad,Campus Regular,BRONZE,923,2025-03-05,False,STR01
CUST00027,smart-app-00027,Yuki Krause,Campus Regular,SILVER,2106,2025-11-20,False,BLN01
CUST00028,smart-app-00028,Milan Fischer,Occasional,SILVER,2860,2026-01-03,True,BLN01
CUST00029,smart-app-00029,Lukas Roth,Early Commuter,BRONZE,1804,2026-01-04,False,MUC01
CUST00030,smart-app-00030,Omar Meyer,Early Commuter,SILVER,1607,2025-06-18,False,BLN01
CUST00031,smart-app-00031,Jonas Krause,Lunch Crowd,SILVER,2966,2025-10-01,True,STR01
CUST00032,smart-app-00032,Emilia Roth,Late Shift,SILVER,780,2026-04-14,True,HAM01
CUST00033,smart-app-00033,Sofia Lindqvist,Early Commuter,SILVER,4763,2025-05-23,True,BLN01
CUST00034,smart-app-00034,Felix Bauer,Late Shift,BRONZE,175,2025-03-22,False,WDF01
CUST00035,smart-app-00035,Felix Lehmann,Early Commuter,BRONZE,3310,2026-05-06,False,STR01
CUST00036,smart-app-00036,Daniel Brandt,Late Shift,GOLD,4036,2026-05-17,True,WDF02
CUST00037,smart-app-00037,Sofia Kern,Occasional,SILVER,1871,2026-05-28,True,WDF02
CUST00038,smart-app-00038,Lena Weber,Late Shift,GOLD,3669,2025-03-31,False,BLN01
CUST00039,smart-app-00039,Felix Wagner,Early Commuter,BRONZE,542,2025-02-01,False,STR01
CUST00040,smart-app-00040,Pablo Novak,Fitness Focused,PLATINUM,3358,2025-05-20,True,BLN01
CUST00041,smart-app-00041,Sven Becker,Lunch Crowd,SILVER,401,2025-06-23,False,WDF02
CUST00042,smart-app-00042,Ravi Brandt,Fitness Focused,PLATINUM,3528,2025-02-08,False,STR01
CUST00043,smart-app-00043,Yara Wagner,Campus Regular,BRONZE,211,2025-01-02,True,BLN01
